ParcelId,OldLand,OldBuilding,OldTotal,NewLand,NewBuilding,NewTotal,Planning,Designation,NBHD
R72 06508 0020,36500,129460,165960,36560,156380,192940,GRAFTON HILLS,HD-1,Grafton Hill
R72 06609 0009,60000,46000,106000,72000,81150,153150,GRAFTON HILLS,HD-1,Grafton Hill
R72 06606 0047,6840,3050,9890,6840,3950,10790,GRAFTON HILLS,HD-1,Grafton Hill
R72 06503 0008,27230,19830,47060,29200,61710,90910,GRAFTON HILLS,HD-1,Grafton Hill
R72 06508 0004,25000,174360,199360,25000,215430,240430,GRAFTON HILLS,HD-1,Grafton Hill
R72 50824 0014,0,0,0,0,0,0,GRAFTON HILLS,HD-1,Grafton Hill
R72 06606 0027,27160,48130,75290,5040,0,5040,GRAFTON HILLS,HD-1,Grafton Hill
R72 06507 0012,24750,190610,215360,24810,224610,249420,GRAFTON HILLS,HD-1,Grafton Hill
R72 06609 0014,22500,29790,52290,22500,118500,141000,GRAFTON HILLS,HD-1,Grafton Hill
R72 06503 0012,6080,0,6080,4480,0,4480,GRAFTON HILLS,HD-1,Grafton Hill
R72 50824 0009,5000,16650,21650,4000,17040,21040,GRAFTON HILLS,HD-1,Grafton Hill
R72 06507 0004,153000,143400,296400,53550,137980,191530,GRAFTON HILLS,HD-1,Grafton Hill
R72 06501 0028,30250,28600,58850,33380,135000,168380,GRAFTON HILLS,HD-1,Grafton Hill
R72 06501 0056,63000,6030,69030,31500,0,31500,GRAFTON HILLS,HD-1,Grafton Hill
R72 06506 0001,13500,810,14310,13500,1050,14550,GRAFTON HILLS,HD-1,Grafton Hill
R72 06504 0054,18000,17610,35610,18000,60140,78140,GRAFTON HILLS,HD-1,Grafton Hill
R72 06508 0024,18000,42370,60370,18000,56470,74470,GRAFTON HILLS,HD-1,Grafton Hill
R72 06503 0006,26780,122160,148940,28110,200050,228160,GRAFTON HILLS,HD-1,Grafton Hill
R72 06503 0014,33750,131230,164980,47600,546750,594350,GRAFTON HILLS,HD-1,Grafton Hill
R72 06506 0002,31500,34680,66180,45000,291640,336640,GRAFTON HILLS,HD-1,Grafton Hill
R72 06503 0034,11930,101060,112990,19390,99420,118810,GRAFTON HILLS,HD-1,Grafton Hill
R72 06503 0037,11480,112290,123770,18550,125620,144170,GRAFTON HILLS,HD-1,Grafton Hill
R72 06609 0038,30250,198200,228450,33380,158980,192360,GRAFTON HILLS,HD-1,Grafton Hill
R72 06507 0018,35970,105490,141460,36820,152530,189350,GRAFTON HILLS,HD-1,Grafton Hill
R72 50824 0001,5000,19640,24640,4000,20540,24540,GRAFTON HILLS,HD-1,Grafton Hill
R72 06508 0019,23500,89280,112780,23450,86640,110090,GRAFTON HILLS,HD-1,Grafton Hill
R72 06506 0006,28000,75830,103830,28570,177720,206290,GRAFTON HILLS,HD-1,Grafton Hill
R72 06503 0044,14280,74730,89010,25660,119480,145140,GRAFTON HILLS,HD-1,Grafton Hill
R72 06507 0017,8440,0,8440,7280,0,7280,GRAFTON HILLS,HD-1,Grafton Hill
R72 06503 0016,2360,0,2360,2390,0,2390,GRAFTON HILLS,HD-1,Grafton Hill
R72 06609 0016,5400,108630,114030,5600,214400,220000,GRAFTON HILLS,HD-1,Grafton Hill
R72 06609 0037,9080,0,9080,9190,0,9190,GRAFTON HILLS,HD-1,Grafton Hill
R72 06508 0014,31000,91080,122080,31040,160400,191440,GRAFTON HILLS,HD-1,Grafton Hill
R72 06606 0024,30820,26520,57340,11040,9050,20090,GRAFTON HILLS,HD-1,Grafton Hill
R72 06606 0036,27040,27310,54350,7900,0,7900,GRAFTON HILLS,HD-1,Grafton Hill
R72 06503 0048,10200,77800,88000,16280,87550,103830,GRAFTON HILLS,HD-1,Grafton Hill
R72 06609 0050,5410,0,5410,5610,0,5610,GRAFTON HILLS,HD-1,Grafton Hill
R72 06609 0039,12100,0,12100,15070,0,15070,GRAFTON HILLS,HD-1,Grafton Hill
R72 06503 0005,25880,101890,127770,26440,132660,159100,GRAFTON HILLS,HD-1,Grafton Hill
R72 06501 0029,15130,0,15130,16740,0,16740,GRAFTON HILLS,HD-1,Grafton Hill
R72 06504 0052,27500,92760,120260,27840,149700,177540,GRAFTON HILLS,HD-1,Grafton Hill
R72 06501 0014,5400,0,5400,5600,0,5600,GRAFTON HILLS,HD-1,Grafton Hill
R72 06504 0020,6000,810,6810,5600,660,6260,GRAFTON HILLS,HD-1,Grafton Hill
R72 06504 0019,6000,310,6310,5600,250,5850,GRAFTON HILLS,HD-1,Grafton Hill
R72 06504 0034,1660,790,2450,1500,1020,2520,GRAFTON HILLS,HD-1,Grafton Hill
R72 06506 0007,382500,639680,1022180,382500,1108450,1490950,GRAFTON HILLS,HD-1,Grafton Hill
R72 06503 0015,40500,5950,46450,47600,6410,54010,GRAFTON HILLS,HD-1,Grafton Hill
R72 06501 0052,63000,136120,199120,31500,100030,131530,GRAFTON HILLS,HD-1,Grafton Hill
R72 06507 0015,27000,61680,88680,27000,47090,74090,GRAFTON HILLS,HD-1,Grafton Hill
R72 06503 0021,25990,60410,86400,25270,132620,157890,GRAFTON HILLS,HD-1,Grafton Hill
R72 06501 0040,24190,20890,45080,24720,76900,101620,GRAFTON HILLS,HD-1,Grafton Hill
R72 06503 0013,6080,0,6080,4480,0,4480,GRAFTON HILLS,HD-1,Grafton Hill
R72 06503 0042,18000,21090,39090,18000,51880,69880,GRAFTON HILLS,HD-1,Grafton Hill
R72 06503 0018,121500,39960,161460,48960,28670,77630,GRAFTON HILLS,HD-1,Grafton Hill
