R72 02203 0001,7240,0,7240
R72 01208 0005,15610,42560,58170
R72 02203 0031,14880,34580,49460
R72 01210 0060,14880,17940,32820
R72 01209 0087,8940,0,8940
R72 02203 0011,7680,5360,13040
R72 02203 0069,6140,6620,12760
R72 01209 0002,14400,37970,52370
R72 01211 0061,4420,0,4420
R72 01208 0070,17150,24290,41440
R72 01209 0001,7700,107670,115370
R72 01206 0038,6480,2020,8500
R72 01206 0027,7490,0,7490
R72 01205 0003,10040,71080,81120
R72 01208 0066,17150,9090,26240
R72 01209 0009,4860,18440,23300
R72 01211 0055,14580,4130,18710
R72 01206 0009,14990,14070,29060
R72 01205 0004,10040,82260,92300
R72 01208 0076,1440,0,1440
R72 01210 0062,13230,20560,33790
R72 01210 0067,5200,0,5200
R72 01212 0031,!,!,!
R72 02202 0051,!,!,!
R72 01210 0058,13470,42840,56310
R72 02202 0019,!,!,!
R72 02202 0048,!,!,!
R72 01211 0004,!,!,!
R72 01206 0023,14990,5130,20120
R72 01206 0004,7490,0,7490
R72 02203 0060,!,!,!
R72 01207 0073,12750,35040,47790
R72 01206 0055,14990,65050,80040
R72 01206 0029,8120,0,8120
R72 01209 0091,!,!,!
R72 01209 0004,!,!,!
R72 02202 0055,!,!,!
R72 01209 0064,!,!,!
R72 01209 0008,!,!,!
R72 01211 0002,!,!,!
R72 01209 0089,!,!,!
R72 01206 0058,16730,61740,78470
R72 01209 0061,!,!,!
R72 01206 0036,14990,27040,42030
R72 01206 0026,14990,20190,35180
R72 01210 0057,!,!,!
R72 02201 0004,!,!,!
R72 01209 0065,!,!,!
R72 01209 0063,!,!,!
R72 01211 0056,!,!,!
R72 01209 0067,!,!,!
R72 02202 0043,!,!,!
R72 01209 0044,!,!,!
R72 01206 0052,19980,66120,86100
R72 02202 0042,!,!,!
R72 01209 0057,!,!,!
R72 01211 0009,!,!,!
R72 01211 0054,!,!,!
R72 01206 0011,7490,0,7490
R72 01209 0077,!,!,!
R72 01209 0074,!,!,!
R72 01209 0080,!,!,!
R72 02202 0057,!,!,!
R72 02203 0009,!,!,!
R72 01209 0059,!,!,!
R72 01209 0055,13120,57960,71080
R72 02203 0050,14880,27010,41890
R72 01208 0051,14460,41310,55770
R72 01210 0059,15120,13800,28920
R72 01208 0068,9500,3830,13330
R72 02202 0011,8230,26240,34470
R72 01207 0068,15300,19230,34530
R72 01208 0072,6000,11250,17250
R72 01211 0063,23110,48560,71670
R72 01210 0074,14880,32700,47580
R72 02203 0059,!,!,!
R72 01206 0008,14990,32490,47480
R72 01206 0013,14990,11940,26930
R72 01206 0057,16730,46300,63030
R72 02201 0005,18480,32990,51470
R72 02201 0003,6320,88950,95270
R72 02201 0009,18480,67250,85730
R72 01209 0016,17150,64590,81740
R72 02201 0015,14740,14050,28790
R72 02202 0061,6300,9990,16290
R72 01209 0010,2980,0,2980
R72 02201 0028,8770,0,8770
R72 02203 0045,14880,4880,19760
R72 01208 0007,13770,5730,19500
R72 02202 0026,6870,26920,33790
R72 01208 0071,17150,4380,21530
R72 01210 0097,10490,25870,36360
R72 01208 0012,6870,0,6870
R72 02203 0052,13020,14010,27030
R72 01209 0060,13500,69920,83420
R72 02203 0032,14880,23180,38060
R72 01209 0056,13500,54770,68270
R72 01210 0063,5100,0,5100
R72 01206 0035,14990,52800,67790
R72 01206 0050,8750,0,8750
R72 01206 0041,24300,5670,29970
R72 01210 0078,14410,22320,36730
R72 01209 0107,17150,30500,47650
R72 02203 0067,12480,69580,82060
R72 01209 0108,17150,880,18030
R72 01211 0008,12060,95640,107700
R72 01209 0050,15030,34020,49050
R72 01210 0065,5200,0,5200
R72 01210 0075,14880,60400,75280
R72 02203 0008,18900,25980,44880
R72 02202 0027,3640,16970,20610
R72 02202 0060,6480,22270,28750
R72 01207 0080,!,!,!
R72 01207 0078,!,!,!
R72 02201 0059,3690,0,3690
R72 01212 0032,13750,8280,22030
R72 01206 0068,!,!,!
R72 01206 0065,!,!,!
R72 01211 0065,13750,10930,24680
R72 01206 0067,9950,34770,44720
R72 01208 0038,1660,0,1660
R72 02203 0049,15410,38450,53860
R72 01210 0081,14880,43880,58760
R72 01208 0050,7230,0,7230
R72 01209 0039,17150,44770,61920
R72 02202 0014,8490,38040,46530
R72 02202 0013,14400,26140,40540
R72 02202 0040,7360,11370,18730
R72 01210 0095,7560,0,7560
R72 02203 0034,15120,6720,21840
R72 02201 0019,18480,2140,20620
R72 02201 0018,14740,7850,22590
R72 02201 0002,6550,0,6550
R72 02203 0012,14880,14550,29430
R72 01206 0040,!,!,!
R72 01210 0072,12290,56340,68630
R72 01209 0062,11880,26390,38270
R72 01205 0033,!,!,!
R72 01208 0077,6000,18930,24930
R72 01210 0096,14880,28570,43450
R72 01210 0041,14880,30790,45670
R72 02203 0044,14880,31890,46770
R72 01208 0064,17150,28760,45910
R72 01209 0040,8580,0,8580
R72 02203 0035,15120,11390,26510
R72 01209 0072,15980,58590,74570
R72 01210 0043,15120,18860,33980
R72 01210 0023,11660,23180,34840
R72 01210 0093,14880,18760,33640
R72 01210 0061,14880,33180,48060
R72 01209 0078,14990,37940,52930
R72 01208 0011,13490,16330,29820
R72 01206 0051,!,!,!
R72 01209 0066,18230,58880,77110
R72 01209 0068,13740,51840,65580
R72 01212 0035,14460,34040,48500
R72 01208 0002,10840,11170,22010
R72 01211 0064,13750,19720,33470
R72 02202 0015,8840,45040,53880
R72 02202 0017,8230,10090,18320
R72 02202 0012,14400,22710,37110
R72 01209 0083,16220,56870,73090
R72 01209 0045,17150,7490,24640
R72 01210 0079,8420,23050,31470
R72 01209 0058,13500,4970,18470
R72 01210 0082,22920,10790,33710
R72 02201 0001,1930,0,1930
R72 01206 0053,!,!,!
R72 02203 0046,14880,43080,57960
R72 02203 0027,14880,14130,29010
R72 02203 0036,15120,27260,42380
R72 01208 0067,17150,30600,47750
R72 01208 0034,1730,0,1730
R72 02203 0051,14880,37020,51900
R72 01208 0014,2280,0,2280
R72 01209 0075,18730,38680,57410
R72 02201 0021,12990,28200,41190
R72 01208 0009,15610,660,16270
R72 01209 0003,12180,63080,75260
R72 01205 0034,!,!,!
R72 01206 0043,!,!,!
R72 01209 0036,13980,45800,59780
R72 02202 0016,7610,18950,26560
R72 01209 0041,17150,36460,53610
R72 01209 0038,8580,0,8580
R72 02201 0007,18480,16500,34980
R72 02201 0008,18480,10320,28800
R72 02203 0019,13230,19960,33190
R72 01211 0001,16230,37380,53610
R72 01210 0021,7390,0,7390
R72 02201 0006,18480,21820,40300
R72 01210 0042,14880,15450,30330
R72 02201 0011,12990,16260,29250
R72 01208 0069,8580,0,8580
R72 02201 0010,12990,19270,32260
R72 01207 0067,15300,4210,19510
R72 02202 0021,9170,24370,33540
R72 02203 0074,14400,38840,53240
R72 01212 0004,15730,12250,27980
R72 01212 0009,13890,16600,30490
R72 01211 0067,15730,48550,64280
R72 01211 0066,15730,49390,65120
R72 01208 0061,14460,14320,28780
R72 01211 0038,16730,41580,58310
R72 01210 0004,12880,31650,44530
R72 02203 0113,720,0,720
R72 01212 0007,15730,51860,67590
R72 01210 0028,!,!,!
R72 02201 0033,14990,31330,46320
R72 02201 0037,18480,33250,51730
R72 01212 0016,17230,99500,116730
R72 02201 0052,16980,58890,75870
R72 02201 0039,22730,62730,85460
R72 01212 0012,15610,64950,80560
R72 01210 0015,15310,39780,55090
R72 01211 0003,9090,80910,90000
R72 01211 0006,5910,52850,58760
R72 01211 0019,15550,39210,54760
R72 01211 0032,24980,34090,59070
R72 01211 0026,15310,32420,47730
R72 01211 0035,16730,50350,67080
R72 02203 0015,14400,51240,65640
R72 01212 0022,15230,70620,85850
R72 01211 0015,9480,21600,31080
R72 01210 0007,13800,30220,44020
R72 01211 0011,20170,12250,32420
R72 01211 0027,6120,0,6120
R72 01211 0029,15310,30810,46120
R72 01211 0039,16730,78540,95270
R72 01211 0048,8560,30280,38840
R72 02201 0048,18480,247580,266060
R72 02201 0049,4750,0,4750
R72 01212 0025,8020,3500,11520
R72 02203 0083,18480,31340,49820
R72 01209 0049,12190,75340,87530
R72 01208 0057,14460,41520,55980
R72 01212 0011,6000,101630,107630
R72 01212 0047,17730,100180,117910
R72 02201 0042,17230,94250,111480
R72 02203 0024,16580,91210,107790
R72 02203 0073,14470,33280,47750
R72 01212 0001,15730,12610,28340
R72 01211 0028,6120,0,6120
R72 01212 0026,8020,92340,100360
R72 01211 0013,18470,17200,35670
R72 01211 0023,16520,45740,62260
R72 01211 0041,16730,72540,89270
R72 02203 0070,10680,2730,13410
R72 01212 0036,17420,73740,91160
R72 01209 0112,!,!,!
R72 02201 0030,14850,7680,22530
R72 01212 0002,15730,15760,31490
R72 01212 0024,14740,45260,60000
R72 01208 0054,14460,52240,66700
R72 02203 0077,6000,45710,51710
R72 01210 0018,15310,54250,69560
R72 01208 0080,!,!,!
R72 01212 0027,8020,0,8020
R72 01210 0011,13370,34640,48010
R72 01210 0009,13370,37990,51360
R72 01212 0005,15730,47360,63090
R72 02203 0007,!,!,!
R72 01211 0016,14400,56060,70460
R72 02202 0047,8300,21850,30150
R72 01210 0054,!,!,!
R72 01210 0003,!,!,!
R72 01210 0012,!,!,!
R72 01208 0060,14460,53560,68020
R72 01211 0025,14090,37900,51990
R72 01210 0005,14090,28720,42810
